,time,label,baro,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
0,1684217458.3960989,0,655.4,0,1,1,0,0,0,0,88
1,1684217459.415801,0,655.4,0,1,1,0,0,0,0,88
2,1684217460.4757586,0,655.31,0,1,1,0,0,0,0,88
3,1684217461.493403,0,655.4,0,1,1,0,0,0,0,88
4,1684217462.515108,1,655.28,0,1,1,0,0,0,0,88
5,1684217463.5599518,0,655.39,0,1,1,0,0,0,0,88
6,1684217464.5816274,2,655.49,0,1,1,0,0,0,0,88
7,1684217465.6231043,0,655.55,0,1,1,0,0,0,0,88
8,1684217466.6805089,3,655.57,0,1,1,0,0,0,0,88
9,1684217467.7106788,0,655.57,0,1,1,0,0,0,0,88
